fetched_at,object_id,data_objectID,data_isHighlight,data_accessionNumber,data_accessionYear,data_isPublicDomain,data_primaryImage,data_primaryImageSmall,data_additionalImages,data_constituents,data_department,data_objectName,data_title,data_culture,data_period,data_dynasty,data_reign,data_portfolio,data_artistRole,data_artistPrefix,data_artistDisplayName,data_artistDisplayBio,data_artistSuffix,data_artistAlphaSort,data_artistNationality,data_artistBeginDate,data_artistEndDate,data_artistGender,data_artistWikidata_URL,data_artistULAN_URL,data_objectDate,data_objectBeginDate,data_objectEndDate,data_medium,data_dimensions,data_measurements,data_creditLine,data_geographyType,data_city,data_state,data_county,data_country,data_region,data_subregion,data_locale,data_locus,data_excavation,data_river,data_classification,data_rightsAndReproduction,data_linkResource,data_metadataDate,data_repository,data_objectURL,data_tags,data_objectWikidata_URL,data_isTimelineWork,data_GalleryNumber
2025-09-09 12:20:18.622,466105,466105,True,1982.60.399,1982,True,https://images.metmuseum.org/CRDImages/md/original/DT133.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT133.jpg,"['https://images.metmuseum.org/CRDImages/md/original/DT7195.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DT7196.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s01.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s02.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s03.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s04.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s05.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s06.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s07.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s08.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s13.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s09.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s10.jpg']",,Medieval Art,Writing tablet,Booklet with Scenes of the Passion,North French (carving); Upper Rhenish (painting),,,,,,,,,,,,,,,,,ca. 1300 (carving); ca. 1310–20 (painting),1300,1320,"Elephant ivory, polychromy, and gilding","Overall (opened): 2 13/16 x 3 3/16 x 1/2 in. (7.2 x 8.1 x 1.2 cm)
Overall (closed): 2 13/16 x 1 9/16 x 7/8 in. (7.2 x 4 x 2.2 cm)","[{'elementName': 'Overall', 'elementDescription': 'closed', 'elementMeasurements': {'Depth': 2.2, 'Height': 7.2, 'Width': 4}}, {'elementName': 'Overall', 'elementDescription': 'opened', 'elementMeasurements': {'Depth': 1.2, 'Height': 7.2, 'Width': 8.1}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Ivories-Elephant,,,2025-02-07T04:53:29.613Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/466105,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Judas', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000531', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q81018'}, {'term': 'Bearing the Cross', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001193', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3399226'}, {'term': 'Crucifixion', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404300', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3235597'}]",https://www.wikidata.org/wiki/Q29385407,True,537
2025-09-09 12:20:19.016,551903,551903,False,17.190.1967,1917,True,https://images.metmuseum.org/CRDImages/eg/original/17.190.1967.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/17.190.1967.jpg,[],,Egyptian Art,"Brush, paint",Paint Brush,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,,,,ca. 1390–1352 B.C.,-1390,-1390,"Palm Fiber, red paint",L. 9 cm (3 9/16 in),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 9}}]","Gift of J. Pierpont Morgan, 1917",From,,,,Egypt,"Upper Egypt, Thebes",Malqata,Palace of Amenhotep III,Magazines,"MMA excavations, 1910–11",,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/551903,,https://www.wikidata.org/wiki/Q116248958,False,117
2025-09-09 12:20:19.288,556956,556956,False,22.1.770,1922,True,https://images.metmuseum.org/CRDImages/eg/original/22.1.770-AC-2.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/22.1.770-AC-2.jpg,[],,Egyptian Art,"Grinding slab, paint",Paint grinding slab,,Middle Kingdom,Dynasty 12–13,,,,,,,,,,,,,,,ca. 1981–1640 B.C.,-1981,-1640,Sandstone,l. 12.6  cm (4 15/16 in); w. 7.4 cm (2 15/16 in),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 12.6, 'Width': 7.4}}]","Rogers Fund and Edward S. Harkness Gift, 1922",From,,,,Egypt,Memphite Region,Lisht North,Cemetery,,"MMA excavations, 1920–22",,,,,2024-10-03T04:53:53.567Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/556956,,https://www.wikidata.org/wiki/Q116243093,False,109
2025-09-09 12:20:19.598,556952,556952,False,22.1.773,1922,True,https://images.metmuseum.org/CRDImages/eg/original/22.1.773_EGDP020541.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/22.1.773_EGDP020541.jpg,['https://images.metmuseum.org/CRDImages/eg/original/22.1.773_EGDP020544.jpg'],,Egyptian Art,Scribe's paint dish,Scribe's paint dish,,Middle Kingdom,Dynasty 12–13,,,,,,,,,,,,,,,ca. 1981–1640 B.C.,-1981,-1640,Basalt,l. 11.2 xm (4 7/16 in),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Length': 11.2}}]","Rogers Fund and Edward S. Harkness Gift, 1922",From,,,,Egypt,Memphite Region,Lisht North,Cemetery,,"MMA excavations, 1920–22",,,,,2025-03-06T04:54:30Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/556952,,https://www.wikidata.org/wiki/Q116243092,False,109
2025-09-09 12:20:19.958,472310,472310,False,25.120.221,1925,True,https://images.metmuseum.org/CRDImages/cl/original/DP216430.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP216430.jpg,"['https://images.metmuseum.org/CRDImages/cl/original/DP216428.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/DP216429.jpg']",,The Cloisters,Sculpture,Torso of Christ,French,,,,,,,,,,,,,,,,,late 12th century,1150,1199,"Poplar, gesso, paint, and metal leaf",43 x 13 3/4 x 9 1/2 in. (109.2 x 34.9 x 24.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 24.1, 'Height': 109.2202, 'Width': 34.9}}]","The Cloisters Collection, 1925",Made in,,Auvergne,,France,,,,,,,Sculpture-Wood,,,2025-05-15T04:50:47.553Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/472310,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}]",https://www.wikidata.org/wiki/Q20201086,False,002
2025-09-09 12:20:20.229,835151,835151,False,2019.442.1,2019,True,https://images.metmuseum.org/CRDImages/ad/original/DP-19094-001.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-19094-001.jpg,"['https://images.metmuseum.org/CRDImages/ad/original/DP-19094-002.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP-19094-003.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP-19094-004.jpg', 'https://images.metmuseum.org/CRDImages/ad/original/DP-19094-005.jpg']","[{'constituentID': 6246, 'role': 'Artist', 'name': 'Helena de Kay', 'constituentULAN_URL': '', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q18810539', 'gender': ''}]",The American Wing,Paint box,Paint box with nude study,American,,,,,Artist,,Helena de Kay,1846–1916,,"de Kay, Helena",,1846,1916,,https://www.wikidata.org/wiki/Q18810539,,ca. 1871,1866,1876,Oil on wood,2 1/4 × 9 3/8 × 5 3/8 in. (5.7 × 23.8 × 13.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 13.652527, 'Height': 5.7150116, 'Width': 23.812548}}]","Gift of Mary and William de Kay Pappenheimer, in celebration of the Museum's 150th anniversary, 2019",,,,,,,,,,,,,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/835151,,https://www.wikidata.org/wiki/Q116726355,False,764
2025-09-09 12:20:20.523,910064,910064,True,N7433.3 .C45 1875,,True,https://images.metmuseum.org/CRDImages/li/original/b2231727_001.jpg,https://images.metmuseum.org/CRDImages/li/web-large/b2231727_001.jpg,"['https://images.metmuseum.org/CRDImages/li/original/b2231727_002.jpg', 'https://images.metmuseum.org/CRDImages/li/original/b2231727_003.jpg']",,The Libraries,,Child's paint box in book form,,,,,,,,,,,,,,,,,,between 1875 and 1885,1875,1885,,"1 paint box : wood, chromolithograph, watercolor cakes, metal hardware ; Height: 7 1/2 × 5 1/8 in. (19 × 13 × 4 cm)","[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Depth': 4, 'Height': 19, 'Width': 13}}]",Gift of Lynn and Bruce Heckman,,,,,United States,,,,,,,,,,2025-01-29T04:54:03.16Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/910064,,,False,
2025-09-09 12:20:20.820,456949,456949,True,2008.312,2008,True,https://images.metmuseum.org/CRDImages/is/original/DP167067.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP167067.jpg,"['https://images.metmuseum.org/CRDImages/is/original/wb-tr.355.2008.JPG', 'https://images.metmuseum.org/CRDImages/is/original/wb-tr.355.2008b.JPG', 'https://images.metmuseum.org/CRDImages/is/original/wb-tr.355.2008d.JPG', 'https://images.metmuseum.org/CRDImages/is/original/wb-tr.355.2008c.JPG']","[{'constituentID': 134440, 'role': 'Artist', 'name': 'Painting attributed to Bhawani Das', 'constituentULAN_URL': '(not assigned)', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q32786180', 'gender': ''}]",Islamic Art,Painting,Great Indian Fruit Bat,,,,,,Artist,Painting attributed to,Bhawani Das,Indian,or a follower,Bhawani Das,Indian,,,,https://www.wikidata.org/wiki/Q32786180,(not assigned),ca. 1777–82,1752,1807,"Pencil, ink, and opaque watercolor on paper","Painting: H. 23 1/2 in. (59.7 cm)
                 W. 32 3/4 in. (83.2 cm)
Mat size: H. 27 1/4 in. (69.2 cm)
                 W. 35 1/2 in. (90.2 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 59.6901, 'Width': 83.1852}}, {'elementName': 'Mat', 'elementDescription': None, 'elementMeasurements': {'Height': 69.2151, 'Width': 90.1702}}]","Purchase, Anonymous Gift, Cynthia Hazen Polsky Gift, Virginia G. LeCount Bequest, in memory of The LeCount Family, 2007 Benefit Fund, Louis V. Bell, Harris Brisbane Dick, Fletcher, and Rogers Funds and Joseph Pulitzer Bequest, and Gift of Dr. Mortimer D. Sackler, Theresa Sackler and Family,  2008",Made in,Calcutta,,,India,,,,,,,Paintings,,,2025-01-30T04:54:21.21Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/456949,"[{'term': 'Bats', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310335', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q28425'}]",https://www.wikidata.org/wiki/Q29385274,True,464
2025-09-09 12:20:21.135,733808,733808,True,2017.64a–f,2017,False,,,[],"[{'constituentID': 194574, 'role': 'Artist', 'name': 'Francis Alÿs', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500116308', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q84569273', 'gender': ''}]",Modern and Contemporary Art,Painting,"The Liar, the copy of the Liar - 1",,,,,,Artist,,Francis Alÿs,"Belgian, born Antwerp, 1959",,"Alÿs, Francis",Belgian,1959,9999,,https://www.wikidata.org/wiki/Q84569273,http://vocab.getty.edu/page/ulan/500116308,1991–94,1991,1994,"Enamel on metal sheet, oil on paperboard with masking tape and oil and wax on canvas glued to particle board","a - painting 1 (by Emilio Rivera): 29 3/4 × 22 3/8 × 1 in. (75.6 × 56.8 × 2.5 cm)
b - painting 2 (by Enrique Huerta): 39 7/8 × 30 1/4 × 3/4 in. (101.3 × 76.8 × 1.9 cm)
c - painting 3 (by Juan García): 48 5/8 × 36 3/4 × 1 in. (123.5 × 93.3 × 2.5 cm)
d - painting 4 (by Francis Alÿs): 11 1/4 × 7 1/4 × 1/2 in. (28.6 × 18.4 × 1.3 cm)
e - painting 5 (by Francis Alÿs): 9 1/2 × 7 1/8 × 3/4 in. (24.1 × 18.1 × 1.9 cm)
f - painting 6 (Found sign painting): 32 5/8 × 20 3/4 × 1 1/4 in. (82.9 × 52.7 × 3.2 cm)","[{'elementName': 'Overall', 'elementDescription': 'b - painting 2', 'elementMeasurements': {'Depth': 1.9050038, 'Height': 101.2827, 'Width': 76.83515}}, {'elementName': 'Overall', 'elementDescription': 'a - painting 1', 'elementMeasurements': {'Depth': 2.540005, 'Height': 75.56515, 'Width': 56.832615}}, {'elementName': 'Overall', 'elementDescription': 'f - painting 6', 'elementMeasurements': {'Depth': 3.1750064, 'Height': 83.185165, 'Width': 52.705105}}, {'elementName': 'Overall', 'elementDescription': 'e - painting 5', 'elementMeasurements': {'Depth': 1.9050038, 'Height': 24.130049, 'Width': 18.097536}}, {'elementName': 'Overall', 'elementDescription': 'd - painting 4', 'elementMeasurements': {'Depth': 1.2700025, 'Height': 28.575058, 'Width': 18.415037}}, {'elementName': 'Overall', 'elementDescription': 'c - painting 3', 'elementMeasurements': {'Depth': 2.540005, 'Height': 123.507744, 'Width': 93.02769}}]","Purchase, Lila Acheson Wallace Gift, 2017",,,,,,,,,,,,Paintings,© Francis Alys,,2024-08-27T04:54:25.67Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/733808,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}]",https://www.wikidata.org/wiki/Q126120206,False,
2025-09-09 12:20:21.741,436122,436122,False,29.100.44,1929,True,https://images.metmuseum.org/CRDImages/ep/original/DP-25461-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-25461-001.jpg,['https://images.metmuseum.org/CRDImages/ep/original/DT1921.jpg'],"[{'constituentID': 161821, 'role': 'Artist', 'name': 'Edgar Degas', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500115194', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q46373', 'gender': ''}]",European Paintings,Painting,The Collector of Prints,,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,,https://www.wikidata.org/wiki/Q46373,http://vocab.getty.edu/page/ulan/500115194,1866,1866,1866,Oil on canvas,20 7/8 x 15 3/4 in. (53 x 40 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 53, 'Width': 40}}, {'elementName': 'Framed', 'elementDescription': None, 'elementMeasurements': {'Depth': 6.985, 'Height': 71.437645, 'Width': 58.102615}}, {'elementName': 'Glazing', 'elementDescription': None, 'elementMeasurements': {'Height': 54.29261, 'Width': 40.95758}}]","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,,2025-03-19T04:53:33.417Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/436122,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Portraits', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300015637', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q134307'}]",https://www.wikidata.org/wiki/Q19911849,False,815
